2025-10-18 23:01:56,BTC,106974.990000,0.50,0.50,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 284ms
2025-10-18 23:01:58,ETH,3878.560000,0.70,-0.30,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 283ms
2025-10-18 23:02:00,LTC,91.150000,1.50,0.50,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 283ms
2025-10-18 23:02:02,LINEA,0.017990,-1.50,-1.50,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,Tín hiệu trái chiều, | 284ms
2025-10-18 23:02:04,SOL,185.150000,-0.50,0.50,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 282ms
2025-10-18 23:02:06,BNB,1092.790000,-1.50,-0.50,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 284ms
2025-10-18 23:02:08,ADA,0.632400,-0.50,0.50,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 283ms
2025-10-18 23:02:09,PEPE,0.000007,0.50,0.50,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 282ms
2025-10-18 23:02:57,BTC,107009.470000,0.50,0.50,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 283ms
2025-10-18 23:02:58,ETH,3881.080000,1.50,0.50,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 285ms
2025-10-18 23:03:00,LTC,91.180000,1.50,0.50,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 281ms
2025-10-18 23:03:02,LINEA,0.018000,-1.50,-1.50,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,Tín hiệu trái chiều, | 286ms
2025-10-18 23:03:04,SOL,185.280000,-0.50,0.50,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 287ms
2025-10-18 23:03:06,BNB,1092.990000,-1.50,-0.50,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 283ms
2025-10-18 23:03:08,ADA,0.632500,-0.50,0.50,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 282ms
2025-10-18 23:03:10,PEPE,0.000007,0.50,0.50,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 285ms
2025-10-18 23:03:57,BTC,107056.740000,0.50,0.50,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 288ms
2025-10-18 23:03:59,ETH,3881.420000,1.50,0.50,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 307ms
2025-10-18 23:04:01,LTC,91.330000,1.50,0.50,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 285ms
2025-10-18 23:04:02,LINEA,0.018000,-1.50,-1.50,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,Tín hiệu trái chiều, | 281ms
2025-10-18 23:04:04,SOL,185.320000,-0.50,0.50,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 283ms
2025-10-18 23:04:06,BNB,1092.960000,-1.50,-0.50,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 284ms
2025-10-18 23:04:08,ADA,0.632100,-0.50,0.50,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 280ms
2025-10-18 23:04:10,PEPE,0.000007,0.50,0.50,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 284ms
2025-10-18 23:04:57,BTC,107018.930000,0.50,0.50,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 280ms
2025-10-18 23:04:59,ETH,3879.780000,0.70,-0.30,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 275ms
2025-10-18 23:05:01,LTC,91.210000,1.50,0.50,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 787ms
2025-10-18 23:05:03,LINEA,0.018000,-1.50,-1.50,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,Tín hiệu trái chiều, | 300ms
2025-10-18 23:05:05,SOL,185.210000,-0.50,0.50,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 278ms
2025-10-18 23:05:07,BNB,1092.880000,-1.50,-0.50,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 285ms
2025-10-18 23:05:08,ADA,0.632300,-0.50,0.50,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 283ms
2025-10-18 23:05:10,PEPE,0.000007,0.50,0.50,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 280ms
2025-10-18 23:05:57,BTC,106973.260000,0.50,0.50,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 282ms
2025-10-18 23:05:59,ETH,3877.000000,1.50,0.50,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 284ms
2025-10-18 23:06:02,LTC,91.210000,1.50,0.50,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 282ms
2025-10-18 23:06:03,LINEA,0.017990,-1.50,-1.50,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,Tín hiệu trái chiều, | 280ms
2025-10-18 23:06:05,SOL,185.040000,-0.50,0.50,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 284ms
2025-10-18 23:06:07,BNB,1092.240000,-1.50,-0.50,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 285ms
2025-10-18 23:06:09,ADA,0.631700,-0.50,-0.50,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 271ms
2025-10-18 23:06:11,PEPE,0.000007,0.50,0.50,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 289ms
2025-10-18 23:06:58,BTC,106959.680000,-0.50,0.50,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 273ms
2025-10-18 23:07:00,ETH,3875.010000,1.50,0.50,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 282ms
2025-10-18 23:07:02,LTC,91.120000,1.50,0.50,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 277ms
2025-10-18 23:07:03,LINEA,0.017960,-1.50,-1.50,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,Tín hiệu trái chiều, | 274ms
2025-10-18 23:07:05,SOL,184.890000,-0.50,0.50,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 270ms
2025-10-18 23:07:07,BNB,1091.280000,-1.50,-0.50,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 275ms
2025-10-18 23:07:09,ADA,0.631000,-0.50,-0.50,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 274ms
2025-10-18 23:07:11,PEPE,0.000007,-0.50,0.50,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 410ms
2025-10-18 23:07:58,BTC,106915.110000,-0.50,0.50,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 287ms
2025-10-18 23:08:00,ETH,3871.730000,-0.30,-0.30,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 288ms
2025-10-18 23:08:02,LTC,90.960000,1.50,0.50,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 282ms
2025-10-18 23:08:04,LINEA,0.017920,-1.50,-1.50,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,Tín hiệu trái chiều, | 283ms
2025-10-18 23:08:06,SOL,184.610000,-0.50,-0.50,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 285ms
2025-10-18 23:08:08,BNB,1089.690000,-1.50,-0.50,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 417ms
2025-10-18 23:08:09,ADA,0.630200,-0.50,-0.50,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 283ms
2025-10-18 23:08:11,PEPE,0.000007,-0.50,-0.50,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 282ms
2025-10-18 23:08:58,BTC,106918.460000,-0.50,0.50,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 286ms
2025-10-18 23:09:00,ETH,3872.570000,-0.30,-0.30,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 284ms
2025-10-18 23:09:07,BTC,106933.510000,-0.50,0.80,0.30,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 522ms
2025-10-18 23:09:09,ETH,3873.730000,1.50,-0.00,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 402ms
2025-10-18 23:09:10,LTC,90.960000,1.50,0.80,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 425ms
2025-10-18 23:09:12,LINEA,0.017940,-1.50,-1.20,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,Tín hiệu trái chiều, | 410ms
2025-10-18 23:09:14,SOL,184.600000,-0.50,-0.20,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 407ms
2025-10-18 23:09:16,BNB,1089.890000,-1.50,-0.20,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 436ms
2025-10-18 23:09:18,ADA,0.630100,-0.50,-0.20,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 416ms
2025-10-18 23:09:20,PEPE,0.000007,-0.50,-0.20,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 407ms
2025-10-18 23:10:08,BTC,106940.670000,-0.50,0.80,0.30,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 467ms
2025-10-18 23:10:09,ETH,3876.000000,1.50,0.80,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 414ms
2025-10-18 23:10:11,LTC,91.000000,1.50,0.80,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 415ms
2025-10-18 23:10:13,LINEA,0.017940,-1.50,-1.20,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,Tín hiệu trái chiều, | 407ms
2025-10-18 23:10:15,SOL,184.850000,-0.50,-0.20,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 404ms
2025-10-18 23:10:17,BNB,1091.060000,-1.50,-0.20,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 413ms
2025-10-18 23:10:18,ADA,0.630800,-0.50,-0.20,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 413ms
2025-10-18 23:10:20,PEPE,0.000007,-0.50,0.80,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 413ms
2025-10-18 23:11:09,BTC,106941.070000,-0.50,0.80,0.30,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 419ms
2025-10-18 23:11:09,ETH,3875.100000,1.50,0.80,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 412ms
2025-10-18 23:11:11,LTC,90.970000,1.50,0.80,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 402ms
2025-10-18 23:11:13,LINEA,0.017940,-1.50,-1.20,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,Tín hiệu trái chiều, | 414ms
2025-10-18 23:11:15,SOL,184.820000,-0.50,-0.20,-0.50,⚖️ Trung tính,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 412ms
2025-10-18 23:11:17,BNB,1090.660000,-1.50,-0.20,-0.50,⚠️ Cảnh báo sớm: có dấu hiệu đảo chiều,⚖️ Trung tính,⚖️ Trung tính,Tín hiệu trái chiều, | 406ms
